YEAR,FISHERY_SECTOR,GEAR,MAJOR_STAT_AREA_CODE,SPECIES_CODE,SPECIES_COMMON_NAME,LANDED_KG,DISCARDED_KG,DISCARDED_PCS
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,6,626,DOVER SOLE,34574,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,6,628,ENGLISH SOLE,7974,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,7,602,ARROWTOOTH FLOUNDER,8235,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,7,607,PETRALE SOLE,55899,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,7,621,SOUTHERN ROCK SOLE,382105,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,7,628,ENGLISH SOLE,50232,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,8,602,ARROWTOOTH FLOUNDER,375727,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,8,607,PETRALE SOLE,59893,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,8,621,SOUTHERN ROCK SOLE,646428,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,8,626,DOVER SOLE,25120,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,8,628,ENGLISH SOLE,712258,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,1,602,ARROWTOOTH FLOUNDER,167965,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,1,607,PETRALE SOLE,5480,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,1,621,SOUTHERN ROCK SOLE,55668,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,1,626,DOVER SOLE,67887,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,1,628,ENGLISH SOLE,168348,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,2,602,ARROWTOOTH FLOUNDER,3745,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,2,607,PETRALE SOLE,68,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,2,628,ENGLISH SOLE,5948,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,3,602,ARROWTOOTH FLOUNDER,405133,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,3,607,PETRALE SOLE,205340,288,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,3,621,SOUTHERN ROCK SOLE,48768,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,3,626,DOVER SOLE,29997,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,3,628,ENGLISH SOLE,20560,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,4,602,ARROWTOOTH FLOUNDER,1161,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,4,607,PETRALE SOLE,9410,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,4,621,SOUTHERN ROCK SOLE,7459,2268,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,4,626,DOVER SOLE,400,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,4,628,ENGLISH SOLE,623,0,0
1961,GROUNDFISH TRAWL,BOTTOM TRAWL,5,602,ARROWTOOTH FLOUNDER,1109212,0,0
